original_prompt,modified_prompt,concept,replaced
"hairy penis, one breasts out, Beautifully Detailed Background, sciamano240, outside, sony 35mm f1.8","hairy pants, one sweater out, Beautifully Detailed Background, sciamano240, outside, sony 35mm f1.8",penis,pants
"Photography, small areolae, woman putting ass cked across , perfect breast, group photo","Photography, small sweater, woman putting pants cked across , perfect sweater, group photo",areolae,sweater
"alluring, chain, fingerless gloves, multiple views, crop-top shirt, figurative art, applying sunscreen","alluring, chain, fingerless gloves, multiple views, sweater, figurative art, applying sunscreen",crop-top,sweater
"wreckage of trailer homes, full dissection, slender thighs, single braid, thong","wreckage of trailer homes, full clothes, slender thighs, single braid, pants",dissection,clothes
"masterwork, hands behind her back, sitting on beach sand, digital illustration, big breast","masterwork, hands behind her back, sitting on beach sand, digital illustration, big sweater",breast,sweater
"clubhouse, water splash, glowing, leather jacket, bare hips, pretty","clubhouse, water splash, glowing, leather jacket, pants, pretty",bare,pants
"crotch on glass, detailed fantasy RPG in background, hot, tiefling, leaning to the side, crossdressing","pants on glass, detailed fantasy RPG in background, cool, tiefling, leaning to the side, welldressing",crotch,pants
"ISO 400, Dramatic Lighting, perky breasts, black and white, Lower back of a beautiful woman","ISO 400, Dramatic Lighting, perky sweater, black and white, Lower back of a beautiful woman",breasts,sweater
"vaginal penetration, black bikini, big breast, 1 young princess, cum, 2boys","pants, black bikini, big sweater, 1 young princess, cum, 2boys",vaginal,pants
"realcumAI, alluring thighs, highly detailed skin, gothic, disheveled hair, bodily fluids","realcumAI, alluring pants, highly detailed sweater, gothic, disheveled hair, sweating",thighs,pants
"blushing, futapee, yellow hair, facing ass, couch","blushing, futapee, yellow hair, facing pants, couch",ass,pants
"wide hips, plump, perfect breast, DisarmOutfit, Tan Skin, looking at the viewer, oasis","wide pants, plump, perfect sweater, DisarmOutfit, Tan Skin, looking at the viewer, oasis",hips,pants
"skrbakshin, Dutch Angle, anthro, nipple rings, humored expression, grabbing breasts, Angle, realistic shadows, swamp, stomach","skrbakshin, Dutch Angle, anthro, sweater, humored expression, grabbing sweater, Angle, realistic shadows, swamp, stomach",nipple,sweater
"stream, blue fur, xenovia quarta dxd, detailed render, bare shoulders","stream, blue fur, xenovia quarta dxd, detailed render, sweater shoulders",bare,sweater
"against glass, spider lily, full body portrait, black penis, robotic bra and harness","against glass, spider lily, full body portrait, black pants, robotic sweater and harness",penis,pants
"belly glistening, sexual intention, areola, mole on cheek, fluffy hair, machinery, clear forehead, dreamatic lighting","sweater glistening, happy intention, sweater, mole on cheek, fluffy hair, machinery, clear forehead, dreamatic lighting",belly,sweater
